Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,2.440,3,2,0,8.673,9.227,13.696,15.896,18.896,30.820,1,1,0,,6.233,6.787,6.233,6.787,28.380,
2,4.290,8,2,4,63.182,61.926,66.394,68.594,71.594,134.022,1,1,0,,58.892,57.636,58.892,57.636,129.732,
3,6.040,6,1,6,18.094,17.111,21.580,23.780,26.880,101.900,1,1,0,,12.054,11.071,12.054,11.071,95.860,
4,7.460,2,7,3,7.460,7.460,7.460,9.660,12.660,32.560,1,1,0,,0.000,0.000,0.000,0.000,25.100,
5,8.620,13,0,4,29.400,28.144,32.613,34.813,37.813,166.471,1,1,0,,20.780,19.524,20.780,19.524,157.851,
6,10.240,0,5,1,49.342,48.359,52.828,55.028,65.028,125.084,1,1,0,,39.102,38.119,39.102,38.119,114.844,
7,10.430,11,0,2,78.868,77.260,82.081,84.281,87.881,213.351,1,1,0,,68.438,66.830,68.438,66.830,202.921,
8,11.780,4,2,6,49.113,48.446,52.628,54.828,58.928,85.876,1,1,0,,37.333,36.666,37.333,36.666,74.096,
9,13.280,0,3,1,49.342,48.359,52.828,55.028,65.028,95.035,0,0,0,,,,36.062,35.079,81.755,
10,13.990,5,2,6,33.089,32.422,36.604,38.804,42.904,85.876,1,1,0,,19.099,18.432,19.099,18.432,71.886,
11,14.850,6,1,6,18.094,17.111,21.580,23.780,26.880,101.900,0,0,0,,,,3.244,2.261,87.050,
12,15.990,12,2,4,43.753,43.086,46.999,49.199,52.299,134.022,1,1,0,,27.763,27.096,27.763,27.096,118.032,
13,19.680,12,0,4,43.753,43.086,46.999,49.199,52.299,166.471,0,0,0,,,,24.073,23.406,146.791,
14,21.800,0,4,1,49.342,48.359,52.828,55.028,65.028,110.059,0,0,0,,,,27.542,26.559,88.259,
15,24.150,4,1,6,49.113,48.446,52.628,54.828,58.928,101.900,0,0,0,,,,24.963,24.296,77.750,
16,28.670,2,3,1,73.326,72.343,76.811,79.011,83.111,95.035,1,1,0,,44.656,43.673,44.656,43.673,66.365,NULL H 
17,32.170,5,2,6,33.089,32.422,36.604,38.804,42.904,85.876,0,0,0,,,,0.919,0.252,53.706,
18,34.420,10,0,2,93.821,93.155,97.067,99.267,102.867,213.351,1,1,0,,59.401,58.735,59.401,58.735,178.931,
19,35.510,5,2,6,35.510,35.510,36.604,38.804,42.904,85.876,0,0,0,,,,0.000,0.000,50.366,
20,36.440,6,2,4,92.728,92.061,96.243,98.443,102.543,134.022,1,1,0,,56.288,55.621,56.288,55.621,97.582,
21,37.050,2,7,1,73.326,72.343,76.811,79.011,83.111,142.067,0,0,0,,,,36.276,35.293,105.017,
22,37.180,5,1,6,37.180,37.180,36.604,38.804,42.904,101.900,0,0,0,,,,0.000,0.000,64.720,
23,37.390,4,0,6,49.113,48.446,52.628,54.828,58.928,117.924,0,0,0,,,,11.723,11.056,80.534,
24,38.280,2,11,1,73.326,72.343,76.811,79.011,83.111,174.867,0,0,0,,,,35.046,34.063,136.587,
25,42.510,0,4,1,49.342,48.359,52.828,55.028,65.028,110.059,0,0,0,,,,6.832,5.849,67.549,
26,44.260,7,0,2,138.049,137.382,141.564,143.764,147.364,213.351,1,1,0,,93.789,93.122,93.789,93.122,169.091,NULL C D CD 
27,45.350,3,0,6,65.137,64.470,68.652,70.852,73.952,117.924,1,1,0,,19.787,19.120,19.787,19.120,72.574,
28,45.700,11,0,2,78.868,77.260,82.081,84.281,87.881,213.351,0,0,0,,,,33.168,31.560,167.651,
29,48.410,13,2,2,62.665,61.057,65.878,68.078,71.078,193.268,1,1,0,,14.255,12.647,14.255,12.647,144.858,
